method;top1;top3;top5
sg_20_0.075_x_inputs;0.339;0.393;0.455
sg_50_0.075_x_inputs;0.385;0.412;0.470
sg_100_0.075_x_inputs;0.397;0.430;0.479
sg_20_0.025_x_inputs;0.273;0.359;0.433
sg_50_0.025_x_inputs;0.290;0.368;0.437
sg_100_0.025_x_inputs;0.290;0.368;0.440
sg_20_0.01_x_inputs;0.135;0.242;0.353
sg_50_0.01_x_inputs;0.131;0.240;0.349
sg_100_0.01_x_inputs;0.135;0.242;0.349
sg_20_0.075;0.106;0.220;0.341
sg_50_0.075;0.097;0.219;0.347
sg_100_0.075;0.107;0.224;0.344
sg_20_0.025;0.147;0.264;0.368
sg_50_0.025;0.152;0.267;0.378
sg_100_0.025;0.142;0.270;0.371
sg_20_0.01;0.139;0.264;0.368
sg_50_0.01;0.140;0.273;0.369
sg_100_0.01;0.136;0.255;0.365
random;0.058;0.193;0.326
